"tx_merchant_clean","month_number","year(Post_date)","key","value"
"AL FUTTAIM MOTORS CO L",8,2014,"Sum",353280.5
"AL FUTTAIM MOTORS CO L",9,2013,"Sum",274143
"AL FUTTAIM MOTORS CO L",10,2013,"Sum",374282
"AL FUTTAIM MOTORS CO L",11,2013,"Sum",489119
"AL FUTTAIM MOTORS CO L",12,2013,"Sum",293413
"AL FUTTAIM MOTORS CO-1",1,2014,"Sum",454060
"AL FUTTAIM MOTORS CO-1",2,2014,"Sum",507596
"AL FUTTAIM MOTORS CO-1",3,2014,"Sum",411576
"AL FUTTAIM MOTORS CO-1",4,2014,"Sum",421333
"AL FUTTAIM MOTORS CO-1",5,2014,"Sum",473646.5
"AL FUTTAIM MOTORS CO-1",6,2014,"Sum",364039.5
"AL FUTTAIM MOTORS CO-1",7,2014,"Sum",811415
"AL FUTTAIM MOTORS CO-1",8,2014,"Sum",375947
"AL FUTTAIM MOTORS CO-1",9,2013,"Sum",649920
"AL FUTTAIM MOTORS CO-1",10,2013,"Sum",549247
"AL FUTTAIM MOTORS CO-1",11,2013,"Sum",714511
"AL FUTTAIM MOTORS CO-1",12,2013,"Sum",409334
"AL GHANDI AUTO",1,2014,"Sum",588838
"AL GHANDI AUTO",2,2014,"Sum",421582
"AL GHANDI AUTO",3,2014,"Sum",471433.8
"AL GHANDI AUTO",4,2014,"Sum",532235
"AL GHANDI AUTO",5,2014,"Sum",419382
"AL GHANDI AUTO",6,2014,"Sum",319840
"AL GHANDI AUTO",7,2014,"Sum",565221
"AL GHANDI AUTO",8,2014,"Sum",462003.01
"AL GHANDI AUTO",9,2013,"Sum",393788
"AL GHANDI AUTO",10,2013,"Sum",264882
"AL GHANDI AUTO",11,2013,"Sum",391695
"AL GHANDI AUTO",12,2013,"Sum",511576.01
"AL NABOODA AUTOMOBILES",1,2014,"Sum",284610.5
"AL NABOODA AUTOMOBILES",2,2014,"Sum",715670
"AL NABOODA AUTOMOBILES",3,2014,"Sum",406125
"AL NABOODA AUTOMOBILES",4,2014,"Sum",341914.4
"AL NABOODA AUTOMOBILES",5,2014,"Sum",376875
"AL NABOODA AUTOMOBILES",6,2014,"Sum",590221
"AL NABOODA AUTOMOBILES",7,2014,"Sum",774868
"AL NABOODA AUTOMOBILES",8,2014,"Sum",494442
"AL NABOODA AUTOMOBILES",9,2013,"Sum",367335
"AL NABOODA AUTOMOBILES",10,2013,"Sum",336887.25
"AL NABOODA AUTOMOBILES",11,2013,"Sum",437356
"AL NABOODA AUTOMOBILES",12,2013,"Sum",509916
"AL TAYER MOTORS LLC",1,2014,"Sum",3767294
"AL TAYER MOTORS LLC",2,2014,"Sum",3053164
"AL TAYER MOTORS LLC",3,2014,"Sum",2510092
"AL TAYER MOTORS LLC",4,2014,"Sum",2434862
"AL TAYER MOTORS LLC",5,2014,"Sum",2250386
"AL TAYER MOTORS LLC",6,2014,"Sum",1791035
"AL TAYER MOTORS LLC",7,2014,"Sum",1933364
"AL TAYER MOTORS LLC",8,2014,"Sum",1826710
"AL TAYER MOTORS LLC",9,2013,"Sum",2901796
"AL TAYER MOTORS LLC",10,2013,"Sum",3171635
"AL TAYER MOTORS LLC",11,2013,"Sum",2128887
"AL TAYER MOTORS LLC",12,2013,"Sum",2654649
"AL TAYER MOTORS(PVT) L",1,2014,"Sum",462312
"AL TAYER MOTORS(PVT) L",2,2014,"Sum",1027155
"AL TAYER MOTORS(PVT) L",3,2014,"Sum",760175
"AL TAYER MOTORS(PVT) L",4,2014,"Sum",501800
"AL TAYER MOTORS(PVT) L",5,2014,"Sum",220000
"AL TAYER MOTORS(PVT) L",6,2014,"Sum",86942
"AL TAYER MOTORS(PVT) L",7,2014,"Sum",454475
"AL TAYER MOTORS(PVT) L",8,2014,"Sum",426888
"AL TAYER MOTORS(PVT) L",9,2013,"Sum",943975
"AL TAYER MOTORS(PVT) L",10,2013,"Sum",667710
"AL TAYER MOTORS(PVT) L",11,2013,"Sum",525557
"AL TAYER MOTORS(PVT) L",12,2013,"Sum",1089482
"ALLIED ENT LLC LEVEL S",1,2014,"Sum",523720.67
"ALLIED ENT LLC LEVEL S",2,2014,"Sum",366491.9
"ALLIED ENT LLC LEVEL S",3,2014,"Sum",421862.93
"ALLIED ENT LLC LEVEL S",4,2014,"Sum",489422
"ALLIED ENT LLC LEVEL S",5,2014,"Sum",401833.75
"ALLIED ENT LLC LEVEL S",6,2014,"Sum",709316.15
"ALLIED ENT LLC LEVEL S",7,2014,"Sum",489318.71
"ALLIED ENT LLC LEVEL S",8,2014,"Sum",340782
"ALLIED ENT LLC LEVEL S",9,2013,"Sum",240677.6
"ALLIED ENT LLC LEVEL S",10,2013,"Sum",332817.98
"ALLIED ENT LLC LEVEL S",11,2013,"Sum",254240.05
"ALLIED ENT LLC LEVEL S",12,2013,"Sum",478018
"APPLE ONLINE STORE AED",1,2014,"Sum",393702.8
"APPLE ONLINE STORE AED",2,2014,"Sum",351382.15
"APPLE ONLINE STORE AED",3,2014,"Sum",398140.89
"APPLE ONLINE STORE AED",4,2014,"Sum",311087.29
"APPLE ONLINE STORE AED",5,2014,"Sum",302875.81
"APPLE ONLINE STORE AED",6,2014,"Sum",327870.55
"APPLE ONLINE STORE AED",7,2014,"Sum",230886.4
"APPLE ONLINE STORE AED",8,2014,"Sum",108988.7
"APPLE ONLINE STORE AED",9,2013,"Sum",164455.3
"APPLE ONLINE STORE AED",10,2013,"Sum",196030.39
"APPLE ONLINE STORE AED",11,2013,"Sum",976276.74
"APPLE ONLINE STORE AED",12,2013,"Sum",953729.69
"ARABIAN AUTOMOBILES CO",1,2014,"Sum",568328.94
"ARABIAN AUTOMOBILES CO",2,2014,"Sum",610924.14
"ARABIAN AUTOMOBILES CO",3,2014,"Sum",402901.55
"ARABIAN AUTOMOBILES CO",4,2014,"Sum",1100024.19
"ARABIAN AUTOMOBILES CO",5,2014,"Sum",572786.51
"ARABIAN AUTOMOBILES CO",6,2014,"Sum",926078.5
"ARABIAN AUTOMOBILES CO",7,2014,"Sum",779540.9
"ARABIAN AUTOMOBILES CO",8,2014,"Sum",543649.3
"ARABIAN AUTOMOBILES CO",9,2013,"Sum",505429.45
